id,source_dataset,source_record_id,variant_text,variant_text_normalized,phonetic_text,variant_pinyin,ipa,ipa_source,canonical_text,canonical_pinyin,canonical_ipa,variant_type,split,occurrence_count,duplicate_record_ids,input_text,input_ipa,input_text_ipa
local:biz_0130#1:01,local_657_homophone_fragments,biz_0130#1:01,长得太涩,长得太涩,长得太涩,zhang3 de2 tai4 se4,ʈʂɑŋ˨˩˦ tɤ˧˥ tʰai˥˩ sɤ˥˩,generated_mandarin_tonal,长得太色,zhang3 de2 tai4 se4,ʈʂɑŋ˨˩˦ tɤ˧˥ tʰai˥˩ sɤ˥˩,歧义同音词,train,1,[],[VARIANT] 长得太涩,[IPA] ʈʂɑŋ˨˩˦ tɤ˧˥ tʰai˥˩ sɤ˥˩,[VARIANT] 长得太涩 [IPA] ʈʂɑŋ˨˩˦ tɤ˧˥ tʰai˥˩ sɤ˥˩
local:biz_0177#1:01,local_657_homophone_fragments,biz_0177#1:01,湿巾,湿巾,湿巾,shi1 jin1,ʂɻ̩˥ tɕin˥,generated_mandarin_tonal,失禁,shi1 jin4,ʂɻ̩˥ tɕin˥˩,歧义同音词,train,1,[],[VARIANT] 湿巾,[IPA] ʂɻ̩˥ tɕin˥,[VARIANT] 湿巾 [IPA] ʂɻ̩˥ tɕin˥
local:biz_0172#1:01,local_657_homophone_fragments,biz_0172#1:01,留水,留水,留水,liu2 shui3,liou˧˥ ʂuei˨˩˦,generated_mandarin_tonal,流水,liu2 shui3,liou˧˥ ʂuei˨˩˦,歧义同音词,train,1,[],[VARIANT] 留水,[IPA] liou˧˥ ʂuei˨˩˦,[VARIANT] 留水 [IPA] liou˧˥ ʂuei˨˩˦
local:biz_0190#1:01,local_657_homophone_fragments,biz_0190#1:01,豪吃,豪吃,豪吃,hao2 chi1,xɑʊ˧˥ ʈʂʰɻ̩˥,generated_mandarin_tonal,好吃,hao3 chi1,xɑʊ˨˩˦ ʈʂʰɻ̩˥,非词汇同音词,train,1,[],[VARIANT] 豪吃,[IPA] xɑʊ˧˥ ʈʂʰɻ̩˥,[VARIANT] 豪吃 [IPA] xɑʊ˧˥ ʈʂʰɻ̩˥
local:biz_0233#1:01,local_657_homophone_fragments,biz_0233#1:01,容易shuang,容易shuang,容易shuang,rong2 yi4 shuang,ɻʊŋ˧˥ i˥˩ ʂuɑŋ,generated_mandarin_tonal,容易爽,rong2 yi4 shuang3,ɻʊŋ˧˥ i˥˩ ʂuɑŋ˨˩˦,语音替代,train,1,[],[VARIANT] 容易shuang,[IPA] ɻʊŋ˧˥ i˥˩ ʂuɑŋ,[VARIANT] 容易shuang [IPA] ɻʊŋ˧˥ i˥˩ ʂuɑŋ
local:biz_0179#1:01,local_657_homophone_fragments,biz_0179#1:01,银角了起来,银角了起来,银角了起来,yin2 jiao3 le qi3 lai2,in˧˥ tɕiɑʊ˨˩˦ lɤ tɕʰi˨˩˦ lai˧˥,generated_mandarin_tonal,淫叫了起来,yin2 jiao4 le qi3 lai2,in˧˥ tɕiɑʊ˥˩ lɤ tɕʰi˨˩˦ lai˧˥,歧义同音词,train,1,[],[VARIANT] 银角了起来,[IPA] in˧˥ tɕiɑʊ˨˩˦ lɤ tɕʰi˨˩˦ lai˧˥,[VARIANT] 银角了起来 [IPA] in˧˥ tɕiɑʊ˨˩˦ lɤ tɕʰi˨˩˦ lai˧˥
local:biz_0171#1:01,local_657_homophone_fragments,biz_0171#1:01,酥糊,酥糊,酥糊,su1 hu2,su˥ xu˧˥,generated_mandarin_tonal,舒服,shu1 fu2,ʂu˥ fu˧˥,非词汇同音词,train,1,[],[VARIANT] 酥糊,[IPA] su˥ xu˧˥,[VARIANT] 酥糊 [IPA] su˥ xu˧˥
local:biz_0261#1:01,local_657_homophone_fragments,biz_0261#1:01,守根砂,守根砂,守根砂,shou3 gen1 sha1,ʂoʊ˨˩˦ kən˥ ʂa˥,generated_mandarin_tonal,守宫砂,shou3 gong1 sha1,ʂoʊ˨˩˦ kʊŋ˥ ʂa˥,歧义同音词,train,1,[],[VARIANT] 守根砂,[IPA] ʂoʊ˨˩˦ kən˥ ʂa˥,[VARIANT] 守根砂 [IPA] ʂoʊ˨˩˦ kən˥ ʂa˥
local:biz_0316#1:01,local_657_homophone_fragments,biz_0316#1:01,铝铜,铝铜,铝铜,lv3 tong2,ly˨˩˦ tʰʊŋ˧˥,generated_mandarin_tonal,女同,nv3 tong2,ny˨˩˦ tʰʊŋ˧˥,歧义同音词,train,1,[],[VARIANT] 铝铜,[IPA] ly˨˩˦ tʰʊŋ˧˥,[VARIANT] 铝铜 [IPA] ly˨˩˦ tʰʊŋ˧˥
local:biz_0364#1:01,local_657_homophone_fragments,biz_0364#1:01,几颗法情,几颗法情,几颗法情,ji3 ke1 fa3 qing2,tɕi˨˩˦ kʰɤ˥ fa˨˩˦ tɕʰiŋ˧˥,generated_mandarin_tonal,饥渴发情,ji1 ke3 fa1 qing2,tɕi˥ kʰɤ˨˩˦ fa˥ tɕʰiŋ˧˥,非词汇同音词,train,1,[],[VARIANT] 几颗法情,[IPA] tɕi˨˩˦ kʰɤ˥ fa˨˩˦ tɕʰiŋ˧˥,[VARIANT] 几颗法情 [IPA] tɕi˨˩˦ kʰɤ˥ fa˨˩˦ tɕʰiŋ˧˥
local:biz_0364#1:02,local_657_homophone_fragments,biz_0364#1:02,慢租,慢租,慢租,man4 zu1,man˥˩ tsu˥,generated_mandarin_tonal,满足,man3 zu2,man˨˩˦ tsu˧˥,非词汇同音词,train,1,[],[VARIANT] 慢租,[IPA] man˥˩ tsu˥,[VARIANT] 慢租 [IPA] man˥˩ tsu˥
local:biz_0278#1:01,local_657_homophone_fragments,biz_0278#1:01,度数不高的9,度数不高的9,度数不高的九,du4 shu4 bu4 gao1 de jiu3,tu˥˩ ʂu˥˩ pu˥˩ kɑʊ˥ tɤ tɕiou˨˩˦,generated_mandarin_tonal,度数不高的酒,du4 shu4 bu4 gao1 de jiu3,tu˥˩ ʂu˥˩ pu˥˩ kɑʊ˥ tɤ tɕiou˨˩˦,语音替代,train,1,[],[VARIANT] 度数不高的9,[IPA] tu˥˩ ʂu˥˩ pu˥˩ kɑʊ˥ tɤ tɕiou˨˩˦,[VARIANT] 度数不高的9 [IPA] tu˥˩ ʂu˥˩ pu˥˩ kɑʊ˥ tɤ tɕiou˨˩˦
local:biz_0314#1:01,local_657_homophone_fragments,biz_0314#1:01,侄女,侄女,侄女,zhi2 nv3,ʈʂɻ̩˧˥ ny˨˩˦,generated_mandarin_tonal,直女,zhi2 nv3,ʈʂɻ̩˧˥ ny˨˩˦,歧义同音词,train,1,[],[VARIANT] 侄女,[IPA] ʈʂɻ̩˧˥ ny˨˩˦,[VARIANT] 侄女 [IPA] ʈʂɻ̩˧˥ ny˨˩˦
local:biz_0384#1:01,local_657_homophone_fragments,biz_0384#1:01,豪赤,豪赤,豪赤,hao2 chi4,xɑʊ˧˥ ʈʂʰɻ̩˥˩,generated_mandarin_tonal,好吃,hao3 chi1,xɑʊ˨˩˦ ʈʂʰɻ̩˥,非词汇同音词,train,1,[],[VARIANT] 豪赤,[IPA] xɑʊ˧˥ ʈʂʰɻ̩˥˩,[VARIANT] 豪赤 [IPA] xɑʊ˧˥ ʈʂʰɻ̩˥˩
local:biz_0163#1:01,local_657_homophone_fragments,biz_0163#1:01,小雪,小雪,小雪,xiao3 xue3,ɕiɑʊ˨˩˦ ɕyɛ˨˩˦,generated_mandarin_tonal,小穴,xiao3 xue2,ɕiɑʊ˨˩˦ ɕyɛ˧˥,歧义同音词,train,1,[],[VARIANT] 小雪,[IPA] ɕiɑʊ˨˩˦ ɕyɛ˨˩˦,[VARIANT] 小雪 [IPA] ɕiɑʊ˨˩˦ ɕyɛ˨˩˦
local:biz_0222#1:01,local_657_homophone_fragments,biz_0222#1:01,chuang上,chuang上,chuang上,chuang shang4,ʈʂʰuɑŋ ʂɑŋ˥˩,generated_mandarin_tonal,床上,chuang2 shang4,ʈʂʰuɑŋ˧˥ ʂɑŋ˥˩,语音替代,train,1,[],[VARIANT] chuang上,[IPA] ʈʂʰuɑŋ ʂɑŋ˥˩,[VARIANT] chuang上 [IPA] ʈʂʰuɑŋ ʂɑŋ˥˩
local:biz_0363#1:01,local_657_homophone_fragments,biz_0363#1:01,虾面,虾面,虾面,xia1 mian4,ɕia˥ miɛn˥˩,generated_mandarin_tonal,下面,xia4 mian4,ɕia˥˩ miɛn˥˩,歧义同音词,train,1,[],[VARIANT] 虾面,[IPA] ɕia˥ miɛn˥˩,[VARIANT] 虾面 [IPA] ɕia˥ miɛn˥˩
local:biz_0221#1:01,local_657_homophone_fragments,biz_0221#1:01,一边ding,一边ding,一边ding,yi1 bian1 ding,i˥ piɛn˥ tiŋ,generated_mandarin_tonal,一边顶,yi1 bian1 ding3,i˥ piɛn˥ tiŋ˨˩˦,语音替代,train,1,[],[VARIANT] 一边ding,[IPA] i˥ piɛn˥ tiŋ,[VARIANT] 一边ding [IPA] i˥ piɛn˥ tiŋ
local:biz_0449#1:01,local_657_homophone_fragments,biz_0449#1:01,铁腚,铁腚,铁腚,tie3 ding4,tʰiɛ˨˩˦ tiŋ˥˩,generated_mandarin_tonal,铁锭,tie3 ding4,tʰiɛ˨˩˦ tiŋ˥˩,歧义同音词,train,1,[],[VARIANT] 铁腚,[IPA] tʰiɛ˨˩˦ tiŋ˥˩,[VARIANT] 铁腚 [IPA] tʰiɛ˨˩˦ tiŋ˥˩
local:biz_0427#1:03,local_657_homophone_fragments,biz_0427#1:03,和茑全蛇,和茑全蛇,和茑全蛇,he2 niao3 quan2 she2,xɤ˧˥ niɑʊ˨˩˦ tɕʰyɛn˧˥ ʂɤ˧˥,generated_mandarin_tonal,和尿全射,he2 niao4 quan2 she4,xɤ˧˥ niɑʊ˥˩ tɕʰyɛn˧˥ ʂɤ˥˩,非词汇同音词,train,1,[],[VARIANT] 和茑全蛇,[IPA] xɤ˧˥ niɑʊ˨˩˦ tɕʰyɛn˧˥ ʂɤ˧˥,[VARIANT] 和茑全蛇 [IPA] xɤ˧˥ niɑʊ˨˩˦ tɕʰyɛn˧˥ ʂɤ˧˥
local:biz_0461#1:01,local_657_homophone_fragments,biz_0461#1:01,我嘞个豆,我嘞个豆,我嘞个豆,wo3 lei ge4 dou4,wɔ˨˩˦ lei kɤ˥˩ toʊ˥˩,generated_mandarin_tonal,我的妈呀,wo3 de ma1 ya,wɔ˨˩˦ tɤ ma˥ ja,非词汇同音词,train,1,[],[VARIANT] 我嘞个豆,[IPA] wɔ˨˩˦ lei kɤ˥˩ toʊ˥˩,[VARIANT] 我嘞个豆 [IPA] wɔ˨˩˦ lei kɤ˥˩ toʊ˥˩
local:biz_0447#1:01,local_657_homophone_fragments,biz_0447#1:01,很烧,很烧,很烧,hen3 shao1,xən˨˩˦ ʂɑʊ˥,generated_mandarin_tonal,很骚,hen3 sao1,xən˨˩˦ sɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 很烧,[IPA] xən˨˩˦ ʂɑʊ˥,[VARIANT] 很烧 [IPA] xən˨˩˦ ʂɑʊ˥
local:biz_0599#1:01,local_657_homophone_fragments,biz_0599#1:01,加大力度艹,加大力度艹,加大力度艹,jia1 da4 li4 du4 cao3,tɕia˥ ta˥˩ li˥˩ tu˥˩ tsʰɑʊ˨˩˦,generated_mandarin_tonal,加大力度操,jia1 da4 li4 du4 cao1,tɕia˥ ta˥˩ li˥˩ tu˥˩ tsʰɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 加大力度艹,[IPA] tɕia˥ ta˥˩ li˥˩ tu˥˩ tsʰɑʊ˨˩˦,[VARIANT] 加大力度艹 [IPA] tɕia˥ ta˥˩ li˥˩ tu˥˩ tsʰɑʊ˨˩˦
local:biz_0572#1:01,local_657_homophone_fragments,biz_0572#1:01,赛小玩具,赛小玩具,赛小玩具,sai4 xiao3 wan2 ju4,sai˥˩ ɕiɑʊ˨˩˦ wan˧˥ tɕy˥˩,generated_mandarin_tonal,塞小玩具,sai1 xiao3 wan2 ju4,sai˥ ɕiɑʊ˨˩˦ wan˧˥ tɕy˥˩,歧义同音词,train,1,[],[VARIANT] 赛小玩具,[IPA] sai˥˩ ɕiɑʊ˨˩˦ wan˧˥ tɕy˥˩,[VARIANT] 赛小玩具 [IPA] sai˥˩ ɕiɑʊ˨˩˦ wan˧˥ tɕy˥˩
local:biz_0536#1:01,local_657_homophone_fragments,biz_0536#1:01,苏福,苏福,苏福,su1 fu2,su˥ fu˧˥,generated_mandarin_tonal,舒服,shu1 fu2,ʂu˥ fu˧˥,非词汇同音词,train,1,[],[VARIANT] 苏福,[IPA] su˥ fu˧˥,[VARIANT] 苏福 [IPA] su˥ fu˧˥
local:biz_0548#1:01,local_657_homophone_fragments,biz_0548#1:01,法不服,法不服,法不服,fa3 bu4 fu2,fa˨˩˦ pu˥˩ fu˧˥,generated_mandarin_tonal,fuck不服,fuck bu4 fu2,fˈʌk pu˥˩ fu˧˥,跨语言语音编码,train,1,[],[VARIANT] 法不服,[IPA] fa˨˩˦ pu˥˩ fu˧˥,[VARIANT] 法不服 [IPA] fa˨˩˦ pu˥˩ fu˧˥
local:biz_0464#1:01,local_657_homophone_fragments,biz_0464#1:01,搞完,搞完,搞完,gao3 wan2,kɑʊ˨˩˦ wan˧˥,generated_mandarin_tonal,睾丸,gao1 wan2,kɑʊ˥ wan˧˥,歧义同音词,train,1,[],[VARIANT] 搞完,[IPA] kɑʊ˨˩˦ wan˧˥,[VARIANT] 搞完 [IPA] kɑʊ˨˩˦ wan˧˥
local:biz_0533#1:01,local_657_homophone_fragments,biz_0533#1:01,厚入,厚入,厚入,hou4 ru4,xoʊ˥˩ ɻu˥˩,generated_mandarin_tonal,后入,hou4 ru4,xoʊ˥˩ ɻu˥˩,非词汇同音词,train,1,[],[VARIANT] 厚入,[IPA] xoʊ˥˩ ɻu˥˩,[VARIANT] 厚入 [IPA] xoʊ˥˩ ɻu˥˩
local:biz_0593#1:02,local_657_homophone_fragments,biz_0593#1:02,才会角,才会角,才会角,cai2 hui4 jiao3,tsʰai˧˥ xuei˥˩ tɕiɑʊ˨˩˦,generated_mandarin_tonal,才会叫,cai2 hui4 jiao4,tsʰai˧˥ xuei˥˩ tɕiɑʊ˥˩,歧义同音词,train,1,[],[VARIANT] 才会角,[IPA] tsʰai˧˥ xuei˥˩ tɕiɑʊ˨˩˦,[VARIANT] 才会角 [IPA] tsʰai˧˥ xuei˥˩ tɕiɑʊ˨˩˦
local:biz_0542#1:01,local_657_homophone_fragments,biz_0542#1:01,烧烧,烧烧,烧烧,shao1 shao1,ʂɑʊ˥ ʂɑʊ˥,generated_mandarin_tonal,骚骚,sao1 sao1,sɑʊ˥ sɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 烧烧,[IPA] ʂɑʊ˥ ʂɑʊ˥,[VARIANT] 烧烧 [IPA] ʂɑʊ˥ ʂɑʊ˥
local:biz_0543#1:01,local_657_homophone_fragments,biz_0543#1:01,雾草,雾草,雾草,wu4 cao3,u˥˩ tsʰɑʊ˨˩˦,generated_mandarin_tonal,卧槽,wo4 cao2,wɔ˥˩ tsʰɑʊ˧˥,歧义同音词,train,1,[],[VARIANT] 雾草,[IPA] u˥˩ tsʰɑʊ˨˩˦,[VARIANT] 雾草 [IPA] u˥˩ tsʰɑʊ˨˩˦
local:biz_0538#1:01,local_657_homophone_fragments,biz_0538#1:01,网煌,网煌,网煌,wang3 huang2,wɑŋ˨˩˦ xuɑŋ˧˥,generated_mandarin_tonal,网黄,wang3 huang2,wɑŋ˨˩˦ xuɑŋ˧˥,非词汇同音词,train,1,[],[VARIANT] 网煌,[IPA] wɑŋ˨˩˦ xuɑŋ˧˥,[VARIANT] 网煌 [IPA] wɑŋ˨˩˦ xuɑŋ˧˥
local:biz_0595#1:01,local_657_homophone_fragments,biz_0595#1:01,叫的越烧,叫的越烧,叫的越烧,jiao4 de yue4 shao1,tɕiɑʊ˥˩ tɤ yɛ˥˩ ʂɑʊ˥,generated_mandarin_tonal,叫的越骚,jiao4 de yue4 sao1,tɕiɑʊ˥˩ tɤ yɛ˥˩ sɑʊ˥,非词汇同音词,train,1,[],[VARIANT] 叫的越烧,[IPA] tɕiɑʊ˥˩ tɤ yɛ˥˩ ʂɑʊ˥,[VARIANT] 叫的越烧 [IPA] tɕiɑʊ˥˩ tɤ yɛ˥˩ ʂɑʊ˥
local:biz_0537#1:01,local_657_homophone_fragments,biz_0537#1:01,肚子和比,肚子和比,肚子和比,du3 zi he2 bi3,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˨˩˦,generated_mandarin_tonal,肚子和逼,du3 zi he2 bi1,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˥,歧义同音词,train,1,[],[VARIANT] 肚子和比,[IPA] tu˨˩˦ tsɹ̩ xɤ˧˥ pi˨˩˦,[VARIANT] 肚子和比 [IPA] tu˨˩˦ tsɹ̩ xɤ˧˥ pi˨˩˦
local:biz_0241#1:01,local_657_homophone_fragments,biz_0241#1:01,娇chuan,娇chuan,娇chuan,jiao1 chuan,tɕiɑʊ˥ ʈʂʰuan,generated_mandarin_tonal,娇喘,jiao1 chuan3,tɕiɑʊ˥ ʈʂʰuan˨˩˦,语音替代,train,2,["local:biz_0442#1:02"],[VARIANT] 娇chuan,[IPA] tɕiɑʊ˥ ʈʂʰuan,[VARIANT] 娇chuan [IPA] tɕiɑʊ˥ ʈʂʰuan
local:biz_0228#1:01,local_657_homophone_fragments,biz_0228#1:01,ying了,ying了,ying了,ying le,iŋ lɤ,generated_mandarin_tonal,硬了,ying4 le,iŋ˥˩ lɤ,语音替代,train,1,[],[VARIANT] ying了,[IPA] iŋ lɤ,[VARIANT] ying了 [IPA] iŋ lɤ
local:biz_0271#1:01,local_657_homophone_fragments,biz_0271#1:01,woc,woc,woc,woc,wˈɒk,generated_mandarin_tonal,卧槽,wo4 cao2,wɔ˥˩ tsʰɑʊ˧˥,语音替代,train,1,[],[VARIANT] woc,[IPA] wˈɒk,[VARIANT] woc [IPA] wˈɒk
local:biz_0268#1:01,local_657_homophone_fragments,biz_0268#1:01,很zhong了,很zhong了,很zhong了,hen3 zhong le,xən˨˩˦ ʈʂʊŋ lɤ,generated_mandarin_tonal,很肿了,hen3 zhong3 le,xən˨˩˦ ʈʂʊŋ˨˩˦ lɤ,语音替代,train,1,[],[VARIANT] 很zhong了,[IPA] xən˨˩˦ ʈʂʊŋ lɤ,[VARIANT] 很zhong了 [IPA] xən˨˩˦ ʈʂʊŋ lɤ
local:biz_0273#1:01,local_657_homophone_fragments,biz_0273#1:01,凌ru,凌ru,凌ru,ling2 ru,liŋ˧˥ ɻu,generated_mandarin_tonal,凌辱,ling2 ru3,liŋ˧˥ ɻu˨˩˦,语音替代,train,1,[],[VARIANT] 凌ru,[IPA] liŋ˧˥ ɻu,[VARIANT] 凌ru [IPA] liŋ˧˥ ɻu
local:biz_0347#1:01,local_657_homophone_fragments,biz_0347#1:01,zhang奶,zhang奶,zhang奶,zhang nai3,ʈʂɑŋ nai˨˩˦,generated_mandarin_tonal,涨奶,zhang3 nai3,ʈʂɑŋ˨˩˦ nai˨˩˦,语音替代,train,1,[],[VARIANT] zhang奶,[IPA] ʈʂɑŋ nai˨˩˦,[VARIANT] zhang奶 [IPA] ʈʂɑŋ nai˨˩˦
local:biz_0346#1:01,local_657_homophone_fragments,biz_0346#1:01,min感点,min感点,min感点,min gan3 dian3,min kan˨˩˦ tiɛn˨˩˦,generated_mandarin_tonal,敏感点,min3 gan3 dian3,min˨˩˦ kan˨˩˦ tiɛn˨˩˦,语音替代,train,1,[],[VARIANT] min感点,[IPA] min kan˨˩˦ tiɛn˨˩˦,[VARIANT] min感点 [IPA] min kan˨˩˦ tiɛn˨˩˦
local:biz_0336#1:01,local_657_homophone_fragments,biz_0336#1:01,JuHua,JuHua,JuHua,JuHua,dʒˈuː hjˈuːa,generated_mandarin_tonal,菊花,ju2 hua1,tɕy˧˥ xua˥,语音替代,train,1,[],[VARIANT] JuHua,[IPA] dʒˈuː hjˈuːa,[VARIANT] JuHua [IPA] dʒˈuː hjˈuːa
local:biz_0334#1:01,local_657_homophone_fragments,biz_0334#1:01,gu起来了,gu起来了,gu起来了,gu qi3 lai2 le,ku tɕʰi˨˩˦ lai˧˥ lɤ,generated_mandarin_tonal,鼓起来了,gu3 qi3 lai2 le,ku˨˩˦ tɕʰi˨˩˦ lai˧˥ lɤ,语音替代,train,1,[],[VARIANT] gu起来了,[IPA] ku tɕʰi˨˩˦ lai˧˥ lɤ,[VARIANT] gu起来了 [IPA] ku tɕʰi˨˩˦ lai˧˥ lɤ
local:biz_0348#1:01,local_657_homophone_fragments,biz_0348#1:01,tiao到最大,tiao到最大,tiao到最大,tiao dao4 zui4 da4,tʰiɑʊ tɑʊ˥˩ tsuei˥˩ ta˥˩,generated_mandarin_tonal,调到最大,diao4 dao4 zui4 da4,tiɑʊ˥˩ tɑʊ˥˩ tsuei˥˩ ta˥˩,语音替代,train,1,[],[VARIANT] tiao到最大,[IPA] tʰiɑʊ tɑʊ˥˩ tsuei˥˩ ta˥˩,[VARIANT] tiao到最大 [IPA] tʰiɑʊ tɑʊ˥˩ tsuei˥˩ ta˥˩
local:biz_0393#1:01,local_657_homophone_fragments,biz_0393#1:01,niao,niao,niao,niao,niɑʊ,generated_mandarin_tonal,尿,niao4,niɑʊ˥˩,语音替代,train,1,[],[VARIANT] niao,[IPA] niɑʊ,[VARIANT] niao [IPA] niɑʊ
local:biz_0389#1:01,local_657_homophone_fragments,biz_0389#1:01,qicheng,qicheng,qicheng,qicheng,kɪtʃˈɛŋ,generated_mandarin_tonal,骑乘,qi2 cheng2,tɕʰi˧˥ ʈʂʰɤŋ˧˥,语音替代,train,1,[],[VARIANT] qicheng,[IPA] kɪtʃˈɛŋ,[VARIANT] qicheng [IPA] kɪtʃˈɛŋ
local:biz_0360#1:01,local_657_homophone_fragments,biz_0360#1:01,1直,1直,一直,yi4 zhi2,i˥˩ ʈʂɻ̩˧˥,generated_mandarin_tonal,一直,yi4 zhi2,i˥˩ ʈʂɻ̩˧˥,语音替代,train,1,[],[VARIANT] 1直,[IPA] i˥˩ ʈʂɻ̩˧˥,[VARIANT] 1直 [IPA] i˥˩ ʈʂɻ̩˧˥
local:biz_0422#1:01,local_657_homophone_fragments,biz_0422#1:01,还shi着,还shi着,还shi着,hai2 shi zhe,xai˧˥ ʂɻ̩ ʈʂɤ,generated_mandarin_tonal,还湿着,hai2 shi1 zhe,xai˧˥ ʂɻ̩˥ ʈʂɤ,歧义同音词,train,1,[],[VARIANT] 还shi着,[IPA] xai˧˥ ʂɻ̩ ʈʂɤ,[VARIANT] 还shi着 [IPA] xai˧˥ ʂɻ̩ ʈʂɤ
local:biz_0422#1:02,local_657_homophone_fragments,biz_0422#1:02,水煎,水煎,水煎,shui3 jian1,ʂuei˨˩˦ tɕiɛn˥,generated_mandarin_tonal,睡奸,shui4 jian1,ʂuei˥˩ tɕiɛn˥,歧义同音词,train,2,["local:biz_0471#1:01"],[VARIANT] 水煎,[IPA] ʂuei˨˩˦ tɕiɛn˥,[VARIANT] 水煎 [IPA] ʂuei˨˩˦ tɕiɛn˥
local:biz_0414#1:01,local_657_homophone_fragments,biz_0414#1:01,想法她,想法她,想法她,xiang3 fa3 ta1,ɕiɑŋ˨˩˦ fa˨˩˦ tʰa˥,generated_mandarin_tonal,想fuck她,xiang3 fuck ta1,ɕiɑŋ˨˩˦ fˈʌk tʰa˥,跨语言语音编码,train,1,[],[VARIANT] 想法她,[IPA] ɕiɑŋ˨˩˦ fa˨˩˦ tʰa˥,[VARIANT] 想法她 [IPA] ɕiɑŋ˨˩˦ fa˨˩˦ tʰa˥
local:biz_0471#1:02,local_657_homophone_fragments,biz_0471#1:02,扣,扣,扣,kou4,kʰoʊ˥˩,generated_mandarin_tonal,抠,kou1,kʰoʊ˥,歧义同音词,train,1,[],[VARIANT] 扣,[IPA] kʰoʊ˥˩,[VARIANT] 扣 [IPA] kʰoʊ˥˩
local:biz_0553#1:01,local_657_homophone_fragments,biz_0553#1:01,狠狠法,狠狠法,狠狠法,hen3 hen3 fa3,xən˨˩˦ xən˨˩˦ fa˨˩˦,generated_mandarin_tonal,狠狠fuck,hen3 hen3 fuck,xən˨˩˦ xən˨˩˦ fˈʌk,跨语言语音编码,train,1,[],[VARIANT] 狠狠法,[IPA] xən˨˩˦ xən˨˩˦ fa˨˩˦,[VARIANT] 狠狠法 [IPA] xən˨˩˦ xən˨˩˦ fa˨˩˦
local:biz_0559#1:01,local_657_homophone_fragments,biz_0559#1:01,老福特,老福特,老福特,lao3 fu2 te4,lɑʊ˨˩˦ fu˧˥ tʰɤ˥˩,generated_mandarin_tonal,LOFTER,LOFTER,lˈɒftə,跨语言语音编码,train,1,[],[VARIANT] 老福特,[IPA] lɑʊ˨˩˦ fu˧˥ tʰɤ˥˩,[VARIANT] 老福特 [IPA] lɑʊ˨˩˦ fu˧˥ tʰɤ˥˩
local:biz_0570#1:01,local_657_homophone_fragments,biz_0570#1:01,双星,双星,双星,shuang1 xing1,ʂuɑŋ˥ ɕiŋ˥,generated_mandarin_tonal,双性,shuang1 xing4,ʂuɑŋ˥ ɕiŋ˥˩,歧义同音词,train,1,[],[VARIANT] 双星,[IPA] ʂuɑŋ˥ ɕiŋ˥,[VARIANT] 双星 [IPA] ʂuɑŋ˥ ɕiŋ˥
local:biz_0584#1:01,local_657_homophone_fragments,biz_0584#1:01,法着放心,法着放心,法着放心,fa3 zhe fang4 xin1,fa˨˩˦ ʈʂɤ fɑŋ˥˩ ɕin˥,generated_mandarin_tonal,fuck着放心,fuck zhe fang4 xin1,fˈʌk ʈʂɤ fɑŋ˥˩ ɕin˥,跨语言语音编码,train,1,[],[VARIANT] 法着放心,[IPA] fa˨˩˦ ʈʂɤ fɑŋ˥˩ ɕin˥,[VARIANT] 法着放心 [IPA] fa˨˩˦ ʈʂɤ fɑŋ˥˩ ɕin˥
local:biz_0302#1:01,local_657_homophone_fragments,biz_0302#1:01,好ru,好ru,好ru,hao3 ru,xɑʊ˨˩˦ ɻu,generated_mandarin_tonal,好入,hao3 ru4,xɑʊ˨˩˦ ɻu˥˩,语音替代,train,1,[],[VARIANT] 好ru,[IPA] xɑʊ˨˩˦ ɻu,[VARIANT] 好ru [IPA] xɑʊ˨˩˦ ɻu
local:biz_0582#1:01,local_657_homophone_fragments,biz_0582#1:01,被法得受不了,被法得受不了,被法得受不了,bei4 fa3 de2 shou4 bu4 liao3,pei˥˩ fa˨˩˦ tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,generated_mandarin_tonal,被fuck得受不了,bei4 fuck de2 shou4 bu4 liao3,pei˥˩ fˈʌk tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,跨语言语音编码,train,1,[],[VARIANT] 被法得受不了,[IPA] pei˥˩ fa˨˩˦ tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,[VARIANT] 被法得受不了 [IPA] pei˥˩ fa˨˩˦ tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦
local:biz_0308#1:01,local_657_homophone_fragments,biz_0308#1:01,b头像,b头像,b头像,b tou2 xiang4,bˈiː tʰoʊ˧˥ ɕiɑŋ˥˩,generated_mandarin_tonal,逼头像,bi1 tou2 xiang4,pi˥ tʰoʊ˧˥ ɕiɑŋ˥˩,语音替代,train,1,[],[VARIANT] b头像,[IPA] bˈiː tʰoʊ˧˥ ɕiɑŋ˥˩,[VARIANT] b头像 [IPA] bˈiː tʰoʊ˧˥ ɕiɑŋ˥˩
