序号,id,原始变种文本,还原答案,CoreHit命中,variant_mapping,语音映射片段含字母,语义片段映射,完整上下文映射,macro_category,category,reasoning,语义片段映射含英文字母,字母片段一声调映射,语义片段映射（字母归一化）
167,biz_0449#1,怒摔铁腚,怒摔铁锭,否,腚 -> 锭,否,铁腚 -> 铁锭,怒摔铁腚 -> 怒摔铁锭,拟音,歧义同音词,“腚”与“锭”同音，均为ding4声，且“腚”作为现有词汇，表面含义与预期含义不同，属于拟音大类中的歧义同音词。,否,,铁腚 -> 铁锭
168,biz_0318#1,猜猜锁骨上的痣今晚会不会被嘬红,猜猜锁骨上的痣今晚会不会被吸出吻痕,否,嘬红 -> 吸出吻痕,否,被嘬红 -> 被吸出吻痕,猜猜锁骨上的痣今晚会不会被嘬红 -> 猜猜锁骨上的痣今晚会不会被吸出吻痕,其他,缩写,“嘬红”是“吸出吻痕”的简化表达，用两个汉字指代原短语，属于缩写形式。,否,,被嘬红 -> 被吸出吻痕
169,biz_0427#1,这口最美味了，占有欲极强的1反复内设最后敬业和茑全蛇进去,这口最美味了，占有欲极强的1反复内射最后精液和尿全射进去,否,设 -> 射；敬业 -> 精液；茑 -> 尿；蛇 -> 射,否,内设 -> 内射；敬业 -> 精液；和茑全蛇 -> 和尿全射,这口最美味了，占有欲极强的1反复内设最后敬业和茑全蛇进去 -> 这口最美味了，占有欲极强的1反复内射最后精液和尿全射进去,拟音,非词汇同音词,全文均利用汉字同音或近音替换，如“设”音同“射”、“敬业”音近“精液”、“茑”音近“尿”、“蛇”音近“射”，替换后表面形式多为非有效词汇，通过语音解码还原含义，符合非词汇同音词定义。,否,,内设 -> 内射；敬业 -> 精液；和茑全蛇 -> 和尿全射
170,biz_0330#1,放颗痔疮在这里,放个屁股在这里,否,颗痔疮 -> 个屁股,否,放颗痔疮 -> 放个屁股,放颗痔疮在这里 -> 放个屁股在这里,其他,缩写,变体“颗痔疮”与“个屁股”发音无关，且不涉及表情符号，属于通过语义联想产生的替代，此处归入其他类中的缩写子类。,否,,放颗痔疮 -> 放个屁股
171,biz_0262#1,这二人很适合玩主仆paly，vv做爱前会给斐套上项圈并蒙上眼睛,这二人很适合玩主仆play，vv做爱前会给斐套上项圈并蒙上眼睛,是,paly -> play,是,paly -> play,这二人很适合玩主仆paly，vv做爱前会给斐套上项圈并蒙上眼睛 -> 这二人很适合玩主仆play，vv做爱前会给斐套上项圈并蒙上眼睛,其他,缩写,paly是play的字母顺序错误，属于罗马字母的变体，发音无关，归为其他类中的缩写。,是,,paly -> play
172,biz_0225#1,🌸咕啾咕啾冒💧忍不住就想闭拢,菊花咕啾咕啾冒水忍不住就想闭拢,否,🌸 -> 菊花；💧 -> 水,否,🌸 -> 菊花；💧 -> 水,🌸咕啾咕啾冒💧忍不住就想闭拢 -> 菊花咕啾咕啾冒水忍不住就想闭拢,其他,表情符号替换,使用表情符号🌸和💧代替汉字'菊花'和'水'，属于通过视觉符号传递编码含义，发音无关，因此归为表情符号替换。,否,,🌸 -> 菊花；💧 -> 水
173,biz_0453#1,左特别吃醋右和别人亲昵 就在直播的时候在下面偷偷kou右,左特别吃醋右和别人亲昵 就在直播的时候在下面偷偷抠右,否,kou -> 抠,是,偷偷kou右 -> 偷偷抠右,左特别吃醋右和别人亲昵 就在直播的时候在下面偷偷kou右 -> 左特别吃醋右和别人亲昵 就在直播的时候在下面偷偷抠右,拟音,语音符号替代,使用拼音字母“kou”代替汉字“抠”，根据发音替换，属于语音符号替代。,,,偷偷kou右 -> 偷偷抠右
174,biz_0461#1,我嘞个豆。。,我的妈呀,否,嘞个豆。。 -> 的妈呀,否,我嘞个豆 -> 我的妈呀,我嘞个豆。。 -> 我的妈呀,拟音,非词汇同音词,变体“嘞个豆”非有效词汇，通过语音近似“的妈”后整体构成感叹“我的妈呀”，属于拟音类中的非词汇同音词。,否,,我嘞个豆 -> 我的妈呀
175,biz_0456#1,一边摸头一边往上顶恍惚有种固定杯子的错觉,一边摸头一边往上顶恍惚有种固定飞机杯的错觉,否,杯子 -> 飞机杯,否,固定杯子 -> 固定飞机杯,一边摸头一边往上顶恍惚有种固定杯子的错觉 -> 一边摸头一边往上顶恍惚有种固定飞机杯的错觉,其他,缩写,将“飞机杯”简化为“杯子”，省略了“飞机”二字，属于一种缩写形式，发音无关。,否,,固定杯子 -> 固定飞机杯
176,biz_0412#1,右一下子酒劲上来了 不自觉的就走过去 胯坐在左🐦,右一下子酒劲上来了 不自觉的就走过去 胯坐在左阴茎,否,🐦 -> 阴茎,否,🐦 -> 阴茎,右一下子酒劲上来了 不自觉的就走过去 胯坐在左🐦 -> 右一下子酒劲上来了 不自觉的就走过去 胯坐在左阴茎,其他,表情符号替换,使用表情符号🐦替代俚语中的'阴茎'，属于表情符号替换。,否,,🐦 -> 阴茎
177,biz_0371#1,两个人也在把受埋在土里被蜜蜂蛰bi的情节,两个人也在把受埋在土里被蜜蜂蛰逼的情节,是,bi -> 逼,是,蛰bi -> 蛰逼,两个人也在把受埋在土里被蜜蜂蛰bi的情节 -> 两个人也在把受埋在土里被蜜蜂蛰逼的情节,拟音,语音符号替代,使用拼音符号'bi'根据发音代替标准汉字'逼'，属于语音符号替代。,,,蛰bi -> 蛰逼
178,biz_0550#1,我还以为是肘击了一下哥，没想到是拍大腚啊,我还以为是肘击了一下哥，没想到是拍大屁股啊,否,腚 -> 屁股,否,拍大腚 -> 拍大屁股,我还以为是肘击了一下哥，没想到是拍大腚啊 -> 我还以为是肘击了一下哥，没想到是拍大屁股啊,其他,缩写,使用单个汉字'腚'代替双字词'屁股'，属于非标准缩写，发音无关，因此归为其他-缩写。,否,,拍大腚 -> 拍大屁股
179,biz_0455#1,于是带着妹去没人的货架附近趁妹不注意猛嘬一口,于是带着妹去没人的货架附近趁妹不注意猛亲一口,是,嘬 -> 亲,否,猛嘬一口 -> 猛亲一口,于是带着妹去没人的货架附近趁妹不注意猛嘬一口 -> 于是带着妹去没人的货架附近趁妹不注意猛亲一口,其他,缩写,变体“嘬”与“亲”发音无关，使用汉字“嘬”作为替代符号，属于非标准缩写形式。,否,,猛嘬一口 -> 猛亲一口
180,biz_0520#1,然后两个人就吭吭恰恰嗯嗯啊啊了,然后两个人就发生性行为了,否,吭吭恰恰嗯嗯啊啊 -> 发生性行为,否,吭吭恰恰嗯嗯啊啊 -> 发生性行为,然后两个人就吭吭恰恰嗯嗯啊啊了 -> 然后两个人就发生性行为了,语义,非词汇同音词,变体为拟声词，表面无有效词汇含义，通过语音联想解码为“发生性行为”，属于通过语音编码的约定俗成短语。,否,,吭吭恰恰嗯嗯啊啊 -> 发生性行为
181,biz_0447#1,感觉哭起来应该会很烧很好听）,感觉哭起来应该会很骚很好听）,是,烧 -> 骚,否,很烧 -> 很骚,感觉哭起来应该会很烧很好听） -> 感觉哭起来应该会很骚很好听）,拟音,非词汇同音词,变体'烧'与'骚'音近，组合'很烧'非字面常见表达，需通过语音解码为'很骚'，符合非词汇同音词。,否,,很烧 -> 很骚
182,biz_0599#1,因为跑不快被追上来，可以加大力度艹,因为跑不快被追上来，可以加大力度操,是,艹 -> 操,否,加大力度艹 -> 加大力度操,因为跑不快被追上来，可以加大力度艹 -> 因为跑不快被追上来，可以加大力度操,拟音,非词汇同音词,“艹”是部首，不构成有效词汇，但读音与“操”相同，通过语音解码表达约定俗成的含义，符合非词汇同音词定义。,否,,加大力度艹 -> 加大力度操
183,biz_0446#1,此男体力很差，脐橙的时候动了两下没力气只能趴在左位身上,此男体力很差，骑乘的时候动了两下没力气只能趴在左位身上,是,脐橙 -> 骑乘,否,脐橙 -> 骑乘,此男体力很差，脐橙的时候动了两下没力气只能趴在左位身上 -> 此男体力很差，骑乘的时候动了两下没力气只能趴在左位身上,拟音,歧义同音词,脐橙与骑乘发音相同，利用现有词汇脐橙进行同音替换，字面含义与预期含义不同，属于歧义同音词。,否,,脐橙 -> 骑乘
184,biz_0572#1,然后V在斐拍摄之前往斐体内赛小玩具,然后V在斐拍摄之前往斐体内塞小玩具,是,赛 -> 塞,否,赛小玩具 -> 塞小玩具,然后V在斐拍摄之前往斐体内赛小玩具 -> 然后V在斐拍摄之前往斐体内塞小玩具,拟音,歧义同音词,变体“赛”与标准词“塞”发音相近且均为有效词汇，利用同音字替换来改变字面含义，符合歧义同音词定义。,否,,赛小玩具 -> 塞小玩具
185,biz_0536#1,看得我好苏福哟 女神牛逼克拉斯,看得我好舒服哟 女神牛逼克拉斯,是,苏福 -> 舒服,否,苏福 -> 舒服,看得我好苏福哟 女神牛逼克拉斯 -> 看得我好舒服哟 女神牛逼克拉斯,拟音,非词汇同音词,“苏福”与“舒服”发音相近，且“苏福”并非有意义的词汇，属于非词汇同音词。,否,,苏福 -> 舒服
186,biz_0548#1,像这种人是法不服的，那怎么办呢？法不服就一直法呗,像这种人是操不服的，那怎么办呢？fuck不服就一直fuck呗,否,法 -> 操；法 -> fuck,是,法不服 -> fuck不服,像这种人是法不服的，那怎么办呢？法不服就一直法呗 -> 像这种人是操不服的，那怎么办呢？fuck不服就一直fuck呗,拟音,跨语言语音编码（含方言，可称非普通话音近）,使用汉字“法”模拟英语“fuck”的发音，属于跨语言语音近似，编码“操”的语义。,,,法不服 -> fuck不服
187,biz_0535#1,穿着华丽整齐的衣服被弄乱的时候最稍了,穿着华丽整齐的衣服被弄乱的时候最骚了,是,稍 -> 骚,否,最稍了 -> 最骚了,穿着华丽整齐的衣服被弄乱的时候最稍了 -> 穿着华丽整齐的衣服被弄乱的时候最骚了,拟音,歧义同音词,“稍”与“骚”发音相近，且“稍”本身是有效词汇，字面含义为“稍微”，但实际替代“骚”表达淫荡之意，属于同音歧义。,否,,最稍了 -> 最骚了
188,biz_0549#1,挨操时被摸腰摸腿会很色(终于有索尼亚嬷嬷了),被操时被摸腰摸腿会很色(终于有索尼亚嬷嬷了),否,挨 -> 被,否,挨操 -> 被操,挨操时被摸腰摸腿会很色(终于有索尼亚嬷嬷了) -> 被操时被摸腰摸腿会很色(终于有索尼亚嬷嬷了),标准显示,跨语言语音编码（含方言，可称非普通话音近）,方言中'挨'可表示被动意，且发音与'被'在某些方言中近音，属于方言近音替换。,否,,挨操 -> 被操
189,biz_0464#1,用手托起右位的搞完，嘴不轻不重的叼起,用手托起右位的睾丸，嘴不轻不重的叼起,是,搞完 -> 睾丸,否,搞完 -> 睾丸,用手托起右位的搞完，嘴不轻不重的叼起 -> 用手托起右位的睾丸，嘴不轻不重的叼起,拟音,歧义同音词,变体“搞完”字面意为“做完”，与“睾丸”音近，用于替代原词，属于同音词歧义。,否,,搞完 -> 睾丸
190,biz_0533#1,妹对厚入很敏感 哥最后总是忍不住把妹翻个身重重的撞,妹对后入很敏感 哥最后总是忍不住把妹翻个身重重的撞,是,厚 -> 后,否,厚入 -> 后入,妹对厚入很敏感 哥最后总是忍不住把妹翻个身重重的撞 -> 妹对后入很敏感 哥最后总是忍不住把妹翻个身重重的撞,拟音,非词汇同音词,变体“厚”与还原“后”同音，但“厚入”并非有效词汇，通过语音解码为约定俗成的短语“后入”，属于非词汇同音词。,否,,厚入 -> 后入
191,biz_0540#1,还有我捧着胸给他汝交,还有我捧着胸给他乳交,是,汝 -> 乳,否,汝交 -> 乳交,还有我捧着胸给他汝交 -> 还有我捧着胸给他乳交,拟音,歧义同音词,变体“汝”与原词“乳”同音，且“汝”本身有字面含义，形成字面与预期含义的歧义，符合歧义同音词定义。,否,,汝交 -> 乳交
192,biz_0593#1,妹害羞不喜欢角 一般真的受不了了才会角,妹害羞不喜欢叫 一般真的受不了了才会叫,是,角 -> 叫,否,不喜欢角 -> 不喜欢叫；才会角 -> 才会叫,妹害羞不喜欢角 一般真的受不了了才会角 -> 妹害羞不喜欢叫 一般真的受不了了才会叫,拟音,歧义同音词,“角”与“叫”发音相近，且“角”本身为有效词汇，替换后形成表面有效但含义不同的短语，属于歧义同音词。,否,,不喜欢角 -> 不喜欢叫；才会角 -> 才会叫
193,biz_0542#1,哥哥喘的更烧烧的,哥哥喘的更骚骚的,是,烧烧 -> 骚骚,否,烧烧 -> 骚骚,哥哥喘的更烧烧的 -> 哥哥喘的更骚骚的,拟音,非词汇同音词,“烧烧”并非有效词汇，通过语音近似解码为“骚骚”，属于拟音中的非词汇同音词。,否,,烧烧 -> 骚骚
194,biz_0543#1,雾草全都好萌,卧槽全都好萌,是,雾草 -> 卧槽,否,雾草 -> 卧槽,雾草全都好萌 -> 卧槽全都好萌,拟音,歧义同音词,“雾草”与“卧槽”发音相近，且“雾草”本身可构成有效表达，属于同音异义替换。,否,,雾草 -> 卧槽
195,biz_0184#1,一手摸到妹的🔽，早就湿透了,一手摸到妹的下面，早就湿透了,否,🔽 -> 下面,否,🔽 -> 下面,一手摸到妹的🔽，早就湿透了 -> 一手摸到妹的下面，早就湿透了,其他,表情符号替换,使用向下箭头表情符号🔽替代文本“下面”，利用视觉象征传达与字面不同的编码含义，属于表情符号替换。,否,,🔽 -> 下面
196,biz_0534#1,在贵族圈里臭名远扬的情场高手竟然是小楚女吗,在贵族圈里臭名远扬的情场高手竟然是小处女吗,是,楚 -> 处,否,小楚女 -> 小处女,在贵族圈里臭名远扬的情场高手竟然是小楚女吗 -> 在贵族圈里臭名远扬的情场高手竟然是小处女吗,拟音,歧义同音词,“楚”和“处”同音(chǔ)，用“小楚女”替代“小处女”，表面字面可理解为“楚楚动人的女子”，但实际含义是“处女”，属于歧义同音词。,否,,小楚女 -> 小处女
197,biz_0538#1,工是网煌但是还有另一个身份,工是网黄但是还有另一个身份,是,煌 -> 黄,否,网煌 -> 网黄,工是网煌但是还有另一个身份 -> 工是网黄但是还有另一个身份,拟音,非词汇同音词,“煌”与“黄”同音，但“网煌”不是有效词汇，通过谐音解码为“网黄”，属于非词汇同音词。,否,,网煌 -> 网黄
198,biz_0226#1,左见右不听话，用jiechi狠狠打了右的🍑一下，右吃痛,左见右不听话，用戒尺狠狠打了右的屁股一下，右吃痛,否,jiechi -> 戒尺,是,用jiechi -> 用戒尺,左见右不听话，用jiechi狠狠打了右的🍑一下，右吃痛 -> 左见右不听话，用戒尺狠狠打了右的屁股一下，右吃痛,拟音,语音符号替代,使用拼音 jiechi 代替汉字戒尺，发音相同，属于语音符号替代。,,,用jiechi -> 用戒尺
199,biz_0227#1,被1扔进一堆fa qing的实验体中，使用了三天三夜,被1扔进一堆发情的实验体中，使用了三天三夜,是,fa qing -> 发情,是,fa qing -> 发情,被1扔进一堆fa qing的实验体中，使用了三天三夜 -> 被1扔进一堆发情的实验体中，使用了三天三夜,拟音,语音符号替代,使用拼音字母'fa qing'模拟'发情'的发音，属于语音符号替代。,,,fa qing -> 发情
200,biz_0592#1,可以把手穿过斗篷伸进无袖的衣服里袭击扔扔,可以把手穿过斗篷伸进无袖的衣服里袭击奶子,否,扔扔 -> 奶子,否,袭击扔扔 -> 袭击奶子,可以把手穿过斗篷伸进无袖的衣服里袭击扔扔 -> 可以把手穿过斗篷伸进无袖的衣服里袭击奶子,其他,缩写,扔扔通过字形“扔”包含“乃”来暗示“奶”，属于基于字形简写的缩写形式。,否,,袭击扔扔 -> 袭击奶子
201,biz_0595#1,还会说什么宝宝叫的越烧哥哥越有劲,还会说什么宝宝叫的越骚哥哥越有劲,是,烧 -> 骚,否,叫的越烧 -> 叫的越骚,还会说什么宝宝叫的越烧哥哥越有劲 -> 还会说什么宝宝叫的越骚哥哥越有劲,拟音,非词汇同音词,变体“烧”与“骚”发音相近，通过谐音替换，但“叫的越烧”表面不构成有效词汇表达，属于非词汇同音词。,否,,叫的越烧 -> 叫的越骚
202,biz_0537#1,肚子和比都肥肥软软的腿根尤其是,肚子和逼都肥肥软软的腿根尤其是,否,比 -> 逼,否,肚子和比 -> 肚子和逼,肚子和比都肥肥软软的腿根尤其是 -> 肚子和逼都肥肥软软的腿根尤其是,拟音,歧义同音词,变体“比”与“逼”同音（声韵相同，仅声调差异），且“比”本身为有效词汇，字面义为比较，此处用来代指“逼”，属于同音词替换，符合歧义同音词定义。,否,,肚子和比 -> 肚子和逼
203,biz_0234#1,本人xp就是喜欢右位被狠狠内🐍直到🐍满肚子涨涨的像怀孕初期有小肚子般,本人xp就是喜欢右位被狠狠内射直到射满肚子涨涨的像怀孕初期有小肚子般,是,🐍 -> 射,否,内🐍 -> 内射；🐍满 -> 射满,本人xp就是喜欢右位被狠狠内🐍直到🐍满肚子涨涨的像怀孕初期有小肚子般 -> 本人xp就是喜欢右位被狠狠内射直到射满肚子涨涨的像怀孕初期有小肚子般,其他,表情符号替换,使用蛇的表情符号🐍，其发音与“射”相近，通过表情符号替换传达编码含义。,否,,内🐍 -> 内射；🐍满 -> 射满
204,biz_0241#1,低声娇chuan，，niao顺着大腿流了下来,低声娇喘，，尿顺着大腿流了下来,否,chuan -> 喘；niao -> 尿,是,娇chuan -> 娇喘；niao顺着大腿流了下来 -> 尿顺着大腿流了下来,低声娇chuan，，niao顺着大腿流了下来 -> 低声娇喘，，尿顺着大腿流了下来,拟音,语音符号替代,变体使用拼音“chuan”和“niao”分别模拟“喘”和“尿”的发音，属于语音符号替代。,,,娇chuan -> 娇喘；niao顺着大腿流了下来 -> 尿顺着大腿流了下来
205,biz_0246#1,然后到了妹走到了一个“用腿帮对方🐍出来”,然后到了妹走到了一个“用腿帮对方射出来”,是,🐍 -> 射,否,🐍出来 -> 射出来,然后到了妹走到了一个“用腿帮对方🐍出来” -> 然后到了妹走到了一个“用腿帮对方射出来”,其他,表情符号替换,用蛇表情符号🐍代替“射”，属于表情符号替换。,否,,🐍出来 -> 射出来
206,biz_0228#1,“宝宝别哭了，哭得我更ying了😋”,宝宝别哭了，哭得我更硬了😋,是,ying -> 硬,是,ying了 -> 硬了,“宝宝别哭了，哭得我更ying了😋” -> 宝宝别哭了，哭得我更硬了😋,拟音,语音符号替代,变体“ying”为拼音符号，根据发音代替标准汉字“硬”，属于语音符号替代。,,,ying了 -> 硬了
207,biz_0207#1,有点dt的意思，然后右在耳边的银角让左更y了,有点dirty talk的意思，然后右在耳边的淫叫让左更硬了,否,dt -> dirty talk；银角 -> 淫叫；y -> 硬,是,dt -> dirty talk；银角 -> 淫叫；更y -> 更硬,有点dt的意思，然后右在耳边的银角让左更y了 -> 有点dirty talk的意思，然后右在耳边的淫叫让左更硬了,其他,缩写,该句包含多个变种，其中“dt”和“y”分别为英文和拼音首字母缩写，发音无关，属于“其他”大类；“银角”虽为同音替换，但整体以缩写为特征，故归为缩写类。,是,y -> yi,dt -> dirty talk；银角 -> 淫叫；更yi -> 更硬
208,biz_0250#1,很喜欢🥩棒被紧裹住温暖如怀抱的感觉,很喜欢肉棒被紧裹住温暖如怀抱的感觉,是,🥩 -> 肉,否,🥩棒 -> 肉棒,很喜欢🥩棒被紧裹住温暖如怀抱的感觉 -> 很喜欢肉棒被紧裹住温暖如怀抱的感觉,其他,表情符号替换,使用表情符号🥩代替汉字“肉”，构成“肉棒”一词，属于表情符号替换。,否,,🥩棒 -> 肉棒
209,biz_0252#1,哥先走到了一个“用手帮对方量🐻围”,哥先走到了一个“用手帮对方量胸围”,是,🐻 -> 胸,否,🐻围 -> 胸围,哥先走到了一个“用手帮对方量🐻围” -> 哥先走到了一个“用手帮对方量胸围”,其他,表情符号替换,通过表情符号🐻代替汉字“胸”，属于表情符号替换。,否,,🐻围 -> 胸围
210,biz_0255#1,就迫不及待邀请哥出来约会开🏠,就迫不及待邀请哥出来约会开房,是,🏠 -> 房,否,开🏠 -> 开房,就迫不及待邀请哥出来约会开🏠 -> 就迫不及待邀请哥出来约会开房,其他,表情符号替换,使用表情符号🏠代替“房”，属于表情符号替换。,否,,开🏠 -> 开房
211,biz_0230#1,V就可以边内🐍边ding,V就可以边内射边顶,否,🐍 -> 射；ding -> 顶,是,内🐍 -> 内射；边ding -> 边顶,V就可以边内🐍边ding -> V就可以边内射边顶,其他,表情符号替换,变种使用表情符号🐍替代“射”字，属于表情符号替换；同时使用拼音“ding”替代“顶”，但整体以表情符号为主要特征，故归为其他大类下的表情符号替换。,是,,内🐍 -> 内射；边ding -> 边顶
212,biz_0251#1,啊啊啊大人这是你🐧吗…我空间刷到了,啊啊啊大人这是你QQ吗…我空间刷到了,是,🐧 -> QQ,是,你🐧吗 -> 你QQ吗,啊啊啊大人这是你🐧吗…我空间刷到了 -> 啊啊啊大人这是你QQ吗…我空间刷到了,其他,表情符号替换,用企鹅表情符号🐧代替QQ，因为QQ的图标是企鹅，属于表情符号替换，传达编码含义。,是,,你🐧吗 -> 你QQ吗
213,biz_0256#1,把妹抱起来，拍了拍妹的🍑说,把妹抱起来，拍了拍妹的屁股说,是,🍑 -> 屁股,否,拍了拍妹的🍑 -> 拍了拍妹的屁股,把妹抱起来，拍了拍妹的🍑说 -> 把妹抱起来，拍了拍妹的屁股说,其他,表情符号替换,使用表情符号🍑代替文本“屁股”，属于表情符号替换，传达与字面语义不同的编码含义。,否,,拍了拍妹的🍑 -> 拍了拍妹的屁股
214,biz_0271#1,woc！！女主跟我简直是知己！！,卧槽！！女主跟我简直是知己！！,否,woc -> 卧槽,是,woc -> 卧槽,woc！！女主跟我简直是知己！！ -> 卧槽！！女主跟我简直是知己！！,拟音,语音符号替代,woc是拼音缩写，根据发音代替汉字“卧槽”，属于语音符号替代。,是，c要映射,,woc -> 卧槽
215,biz_0268#1,每次吸的她受不了了才放开，发现已经很zhong了,每次吸的她受不了了才放开，发现已经很肿了,是,zhong -> 肿,是,很zhong了 -> 很肿了,每次吸的她受不了了才放开，发现已经很zhong了 -> 每次吸的她受不了了才放开，发现已经很肿了,拟音,语音符号替代,使用拼音“zhong”替代汉字“肿”，属于语音符号替代。,,,很zhong了 -> 很肿了
216,biz_0270#1,妹不是没有z/w过 但是看见哥这样,妹不是没有自慰过 但是看见哥这样,是,z/w -> 自慰,是,z/w -> 自慰,妹不是没有z/w过 但是看见哥这样 -> 妹不是没有自慰过 但是看见哥这样,其他,缩写,使用拼音首字母缩写“z/w”代替“自慰”，发音上无关，属于缩写。,是,z -> zi；w -> wu,zi/wu -> 自慰
217,biz_0276#1,左说:宝宝这么s啊,左说:宝宝这么骚啊,是,s -> 骚,是,这么s啊 -> 这么骚啊,左说:宝宝这么s啊 -> 左说:宝宝这么骚啊,其他,缩写,使用字母“s”代替“骚”是基于拼音首字母的缩写，发音上无关，故归为其他类下的缩写。,是,s -> si,这么si啊 -> 这么骚啊
218,biz_0273#1,猜你想看《凌ru》by白花花,猜你想看《凌辱》by白花花,是,ru -> 辱,是,凌ru -> 凌辱,猜你想看《凌ru》by白花花 -> 猜你想看《凌辱》by白花花,拟音,语音符号替代,使用拼音“ru”替代汉字“辱”，属于语音符号替代。,,,凌ru -> 凌辱
219,biz_0282#1,魏无羡玩手机的时候偶然发现了这个分🦵7⃣️,魏无羡玩手机的时候偶然发现了这个分腿器,是,🦵7⃣️ -> 腿器,否,分🦵7⃣️ -> 分腿器,魏无羡玩手机的时候偶然发现了这个分🦵7⃣️ -> 魏无羡玩手机的时候偶然发现了这个分腿器,其他,表情符号替换,使用“🦵”emoji代指“腿”，“7⃣️”emoji代指数字“7”，通过谐音“器”构成“腿器”，属于表情符号替换。,否,,分🦵7⃣️ -> 分腿器
220,biz_0310#1,右便躺在了左的怀里腿也顺势❌开了🦵,右便躺在了左的怀里腿也顺势叉开了腿,否,❌ -> 叉；🦵 -> 腿,否,❌开了🦵 -> 叉开了腿,右便躺在了左的怀里腿也顺势❌开了🦵 -> 右便躺在了左的怀里腿也顺势叉开了腿,其他,表情符号替换,使用叉号❌和腿🦵表情符号替换原汉字“叉”和“腿”，属于表情符号替换。,否,,❌开了🦵 -> 叉开了腿
221,biz_0243#1,只能靠双腿紧紧夹在哥腰上还有🌨️里的那根借力,只能靠双腿紧紧夹在哥腰上还有穴里的那根借力,否,🌨️ -> 穴,否,🌨️里的 -> 穴里的,只能靠双腿紧紧夹在哥腰上还有🌨️里的那根借力 -> 只能靠双腿紧紧夹在哥腰上还有穴里的那根借力,其他,表情符号替换,使用表情符号“🌨️”（雪）代替汉字“穴”，通过视觉符号替换传达编码含义，属于表情符号替换。,否,,🌨️里的 -> 穴里的
222,biz_0248#1,🚗随便开🥩语随便说，想要的可以来找我呀,🚗随便开肉语随便说，想要的可以来找我呀,否,🥩 -> 肉,否,🥩语 -> 肉语,🚗随便开🥩语随便说，想要的可以来找我呀 -> 🚗随便开肉语随便说，想要的可以来找我呀,其他,表情符号替换,原文用表情符号🥩代替汉字“肉”，属于表情符号传达字面之外的编码含义，符合表情符号替换定义。,否,,🥩语 -> 肉语
223,biz_0266#1,被小爱怒斥bt，最后逼老婆离婚，pua小爱在结婚书签名,被小爱怒斥变态，最后逼老婆离婚，pua小爱在结婚书签名,是,bt -> 变态,是,bt -> 变态,被小爱怒斥bt，最后逼老婆离婚，pua小爱在结婚书签名 -> 被小爱怒斥变态，最后逼老婆离婚，pua小爱在结婚书签名,其他,缩写,bt是“变态”的拼音首字母缩写，发音上无关，属于缩写类。,是,bt -> bo te,bo te -> 变态
224,biz_0245#1,但是根据我看捡手机的经验，通常右边是女孩🤔,但是根据我看捡手机文学的经验，通常右边是女孩🤔,是,捡手机 -> 捡手机文学,否,捡手机 -> 捡手机文学,但是根据我看捡手机的经验，通常右边是女孩🤔 -> 但是根据我看捡手机文学的经验，通常右边是女孩🤔,其他,缩写,省略“文学”二字，形成“捡手机”这一固定短语的缩写，发音上并不全面对应，符合其他类别中缩写定义。,否,,捡手机 -> 捡手机文学
225,biz_0311#1,发现自己穿着分🦵器，下面有异物,发现自己穿着分腿器，下面有异物,是,🦵 -> 腿,否,分🦵器 -> 分腿器,发现自己穿着分🦵器，下面有异物 -> 发现自己穿着分腿器，下面有异物,其他,表情符号替换,使用表情符号🦵代替汉字“腿”，传达相同含义，属于表情符号替换。,否,,分🦵器 -> 分腿器
226,biz_0326#1,已经想好该怎么在gao//chao的时候对大扔子做点什么了,已经想好该怎么在高潮的时候对大奶子做点什么了,是,gao//chao -> 高潮,是,gao//chao -> 高潮,已经想好该怎么在gao//chao的时候对大扔子做点什么了 -> 已经想好该怎么在高潮的时候对大奶子做点什么了,拟音,语音符号替代,变体使用拼音“gao//chao”替代汉字“高潮”，通过发音相同进行编码，属于拟音中的语音符号替代。,,,gao//chao -> 高潮
227,biz_0347#1,右位体质特殊，会出现zhang奶的时期,右位体质特殊，会出现涨奶的时期,否,zhang -> 涨,是,zhang奶 -> 涨奶,右位体质特殊，会出现zhang奶的时期 -> 右位体质特殊，会出现涨奶的时期,拟音,语音符号替代,使用拼音“zhang”替代汉字“涨”，属于语音符号替代。,,,zhang奶 -> 涨奶
228,biz_0287#1,道具测评直播间。双🌟0,道具测评直播间。双性0,是,🌟 -> 性,否,双🌟0 -> 双性0,道具测评直播间。双🌟0 -> 道具测评直播间。双性0,其他,表情符号替换,变体使用表情符号🌟代替汉字“性”，属于表情符号替换。,否,,双🌟0 -> 双性0
229,biz_0313#1,腿被压在头两侧，迫使小❄️朝天冲着,腿被压在头两侧，迫使小穴朝天冲着,是,❄️ -> 穴,否,小❄️ -> 小穴,腿被压在头两侧，迫使小❄️朝天冲着 -> 腿被压在头两侧，迫使小穴朝天冲着,其他,表情符号替换,用雪花表情符号❄️代替“穴”，属于表情符号替换，传达与字面不同的编码含义。,否,,小❄️ -> 小穴
230,biz_0346#1,然后师尊就被碰到min感点，，师尊就忍不住的叫出来了,然后师尊就被碰到敏感点，，师尊就忍不住的叫出来了,是,min -> 敏,是,min感点 -> 敏感点,然后师尊就被碰到min感点，，师尊就忍不住的叫出来了 -> 然后师尊就被碰到敏感点，，师尊就忍不住的叫出来了,拟音,语音符号替代,使用拼音'min'代替汉字'敏'，发音相同，属于语音符号替代。,,,min感点 -> 敏感点
