fragment_id,source_row_id,variant_fragment_raw,variant_fragment_normalized,phonetic_text,pinyin_reading,canonical_fragment,canonical_phonetic_text,canonical_pinyin_reading,canonical_ipa,canonical_ipa_candidate,canonical_needs_manual_review,canonical_manual_review_reasons,ipa,ipa_candidate,needs_manual_review,manual_review_reasons,normalization_rules,macro_category,category,original_variant_text,original_canonical_text
biz_0227#1:01,biz_0227#1,fa qing,fa qing,fa qing,fa qing,发情,发情,fa1 qing2,fa˥ tɕʰiŋ˧˥,fa˥ tɕʰiŋ˧˥,否,,fa tɕʰiŋ,fa tɕʰiŋ,否,,[],拟音,语音符号替代,被1扔进一堆fa qing的实验体中，使用了三天三夜,被1扔进一堆发情的实验体中，使用了三天三夜
biz_0595#1:01,biz_0595#1,叫的越烧,叫的越烧,叫的越烧,jiao4 de yue4 shao1,叫的越骚,叫的越骚,jiao4 de yue4 sao1,tɕiɑʊ˥˩ tɤ yɛ˥˩ sɑʊ˥,tɕiɑʊ˥˩ tɤ yɛ˥˩ sɑʊ˥,否,,tɕiɑʊ˥˩ tɤ yɛ˥˩ ʂɑʊ˥,tɕiɑʊ˥˩ tɤ yɛ˥˩ ʂɑʊ˥,否,,[],拟音,非词汇同音词,还会说什么宝宝叫的越烧哥哥越有劲,还会说什么宝宝叫的越骚哥哥越有劲
biz_0537#1:01,biz_0537#1,肚子和比,肚子和比,肚子和比,du3 zi he2 bi3,肚子和逼,肚子和逼,du3 zi he2 bi1,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˥,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˥,否,,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˨˩˦,tu˨˩˦ tsɹ̩ xɤ˧˥ pi˨˩˦,否,,[],拟音,歧义同音词,肚子和比都肥肥软软的腿根尤其是,肚子和逼都肥肥软软的腿根尤其是
biz_0241#1:01,biz_0241#1,娇chuan,娇chuan,娇chuan,jiao1 chuan,娇喘,娇喘,jiao1 chuan3,tɕiɑʊ˥ ʈʂʰuan˨˩˦,tɕiɑʊ˥ ʈʂʰuan˨˩˦,否,,tɕiɑʊ˥ ʈʂʰuan,tɕiɑʊ˥ ʈʂʰuan,否,,[],拟音,语音符号替代,低声娇chuan，，niao顺着大腿流了下来,低声娇喘，，尿顺着大腿流了下来
biz_0241#1:02,biz_0241#1,niao顺着大腿流了下来,niao顺着大腿流了下来,niao顺着大腿流了下来,niao shun4 zhe da4 tui3 liu2 le xia4 lai2,尿顺着大腿流了下来,尿顺着大腿流了下来,niao4 shun4 zhe da4 tui3 liu2 le xia4 lai2,niɑʊ˥˩ ʂuən˥˩ ʈʂɤ ta˥˩ tʰuei˨˩˦ liou˧˥ lɤ ɕia˥˩ lai˧˥,niɑʊ˥˩ ʂuən˥˩ ʈʂɤ ta˥˩ tʰuei˨˩˦ liou˧˥ lɤ ɕia˥˩ lai˧˥,否,,niɑʊ ʂuən˥˩ ʈʂɤ ta˥˩ tʰuei˨˩˦ liou˧˥ lɤ ɕia˥˩ lai˧˥,niɑʊ ʂuən˥˩ ʈʂɤ ta˥˩ tʰuei˨˩˦ liou˧˥ lɤ ɕia˥˩ lai˧˥,否,,[],拟音,语音符号替代,低声娇chuan，，niao顺着大腿流了下来,低声娇喘，，尿顺着大腿流了下来
biz_0228#1:01,biz_0228#1,ying了,ying了,ying了,ying le,硬了,硬了,ying4 le,iŋ˥˩ lɤ,iŋ˥˩ lɤ,否,,iŋ lɤ,iŋ lɤ,否,,[],拟音,语音符号替代,“宝宝别哭了，哭得我更ying了😋”,宝宝别哭了，哭得我更硬了😋
biz_0271#1:01,biz_0271#1,woc,woc,woc,woc,卧槽,卧槽,wo4 cao2,wɔ˥˩ tsʰɑʊ˧˥,wɔ˥˩ tsʰɑʊ˧˥,否,,wˈɒk,wˈɒk,否,,[],拟音,语音符号替代,woc！！女主跟我简直是知己！！,卧槽！！女主跟我简直是知己！！
biz_0268#1:01,biz_0268#1,很zhong了,很zhong了,很zhong了,hen3 zhong le,很肿了,很肿了,hen3 zhong3 le,xən˨˩˦ ʈʂʊŋ˨˩˦ lɤ,xən˨˩˦ ʈʂʊŋ˨˩˦ lɤ,否,,xən˨˩˦ ʈʂʊŋ lɤ,xən˨˩˦ ʈʂʊŋ lɤ,否,,[],拟音,语音符号替代,每次吸的她受不了了才放开，发现已经很zhong了,每次吸的她受不了了才放开，发现已经很肿了
biz_0273#1:01,biz_0273#1,凌ru,凌ru,凌ru,ling2 ru,凌辱,凌辱,ling2 ru3,liŋ˧˥ ɻu˨˩˦,liŋ˧˥ ɻu˨˩˦,否,,liŋ˧˥ ɻu,liŋ˧˥ ɻu,否,,[],拟音,语音符号替代,猜你想看《凌ru》by白花花,猜你想看《凌辱》by白花花
biz_0326#1:01,biz_0326#1,gao//chao,gao//chao,gao//chao,gao / / chao,高潮,高潮,gao1 chao2,kɑʊ˥ ʈʂʰɑʊ˧˥,kɑʊ˥ ʈʂʰɑʊ˧˥,否,,,kɑʊ ʈʂʰɑʊ,是,unresolved_symbol_or_digit; unresolved_symbol_or_digit,[],拟音,语音符号替代,已经想好该怎么在gao//chao的时候对大扔子做点什么了,已经想好该怎么在高潮的时候对大奶子做点什么了
biz_0347#1:01,biz_0347#1,zhang奶,zhang奶,zhang奶,zhang nai3,涨奶,涨奶,zhang3 nai3,ʈʂɑŋ˨˩˦ nai˨˩˦,ʈʂɑŋ˨˩˦ nai˨˩˦,否,,ʈʂɑŋ nai˨˩˦,ʈʂɑŋ nai˨˩˦,否,,[],拟音,语音符号替代,右位体质特殊，会出现zhang奶的时期,右位体质特殊，会出现涨奶的时期
biz_0346#1:01,biz_0346#1,min感点,min感点,min感点,min gan3 dian3,敏感点,敏感点,min3 gan3 dian3,min˨˩˦ kan˨˩˦ tiɛn˨˩˦,min˨˩˦ kan˨˩˦ tiɛn˨˩˦,否,,min kan˨˩˦ tiɛn˨˩˦,min kan˨˩˦ tiɛn˨˩˦,否,,[],拟音,语音符号替代,然后师尊就被碰到min感点，，师尊就忍不住的叫出来了,然后师尊就被碰到敏感点，，师尊就忍不住的叫出来了
biz_0336#1:01,biz_0336#1,JuHua,JuHua,JuHua,JuHua,菊花,菊花,ju2 hua1,tɕy˧˥ xua˥,tɕy˧˥ xua˥,否,,dʒˈuː hjˈuːa,dʒˈuː hjˈuːa,否,,[],拟音,语音符号替代,刺)插进右位的JuHua，把右位插满，然后用右位流出的水,刺)插进右位的菊花，把右位插满，然后用右位流出的水
biz_0334#1:01,biz_0334#1,gu起来了,gu起来了,gu起来了,gu qi3 lai2 le,鼓起来了,鼓起来了,gu3 qi3 lai2 le,ku˨˩˦ tɕʰi˨˩˦ lai˧˥ lɤ,ku˨˩˦ tɕʰi˨˩˦ lai˧˥ lɤ,否,,ku tɕʰi˨˩˦ lai˧˥ lɤ,ku tɕʰi˨˩˦ lai˧˥ lɤ,否,,[],拟音,语音符号替代,右的肚子已经被填的gu起来了，左就会好奇,右的肚子已经被填的鼓起来了，左就会好奇
biz_0374#1:01,biz_0374#1,炒点,炒点,炒点,chao3 dian3,操点,操点,cao1 dian3,tsʰɑʊ˥ tiɛn˨˩˦,tsʰɑʊ˥ tiɛn˨˩˦,否,,ʈʂʰɑʊ˨˩˦ tiɛn˨˩˦,ʈʂʰɑʊ˨˩˦ tiɛn˨˩˦,否,,[],拟音,歧义同音词,我先炒点 哥先把妹的眼睛蒙上然后把水果塞进妹🖊️里,我先操点 哥先把妹的眼睛蒙上然后把水果塞进妹逼里
biz_0348#1:01,biz_0348#1,tiao到最大,tiao到最大,tiao到最大,tiao dao4 zui4 da4,调到最大,调到最大,diao4 dao4 zui4 da4,tiɑʊ˥˩ tɑʊ˥˩ tsuei˥˩ ta˥˩,tiɑʊ˥˩ tɑʊ˥˩ tsuei˥˩ ta˥˩,否,,tʰiɑʊ tɑʊ˥˩ tsuei˥˩ ta˥˩,tʰiɑʊ tɑʊ˥˩ tsuei˥˩ ta˥˩,否,,[],拟音,语音符号替代,屏幕正对着右，左直接tiao到最大,屏幕正对着右，左直接调到最大
biz_0393#1:01,biz_0393#1,niao,niao,niao,niao,尿,尿,niao4,niɑʊ˥˩,niɑʊ˥˩,否,,niɑʊ,niɑʊ,否,,[],拟音,语音符号替代,然后这个弟弟是双性，逼他用女生的地方niao,然后这个弟弟是双性，逼他用女生的地方尿
biz_0389#1:01,biz_0389#1,qicheng,qicheng,qicheng,qicheng,骑乘,骑乘,qi2 cheng2,tɕʰi˧˥ ʈʂʰɤŋ˧˥,tɕʰi˧˥ ʈʂʰɤŋ˧˥,否,,kɪtʃˈɛŋ,kɪtʃˈɛŋ,否,,[],拟音,语音符号替代,此男腿不是断过吗。不能qicheng只能压着。,此男腿不是断过吗。不能骑乘只能压着。
biz_0360#1:01,biz_0360#1,1直,1直,一直,yi4 zhi2,一直,一直,yi4 zhi2,i˥˩ ʈʂɻ̩˧˥,i˥˩ ʈʂɻ̩˧˥,否,,i˥˩ ʈʂɻ̩˧˥,i˥˩ ʈʂɻ̩˧˥,否,,"[{""surface"": ""1"", ""text"": ""一""}]",拟音,语音符号替代,原来1直在往0❄塞小🍅，用手给他掏烂,原来一直在往0穴塞小番茄，用手给他掏烂
biz_0422#1:01,biz_0422#1,还shi着,还shi着,还shi着,hai2 shi zhe,还湿着,还湿着,hai2 shi1 zhe,xai˧˥ ʂɻ̩˥ ʈʂɤ,xai˧˥ ʂɻ̩˥ ʈʂɤ,否,,xai˧˥ ʂɻ̩ ʈʂɤ,xai˧˥ ʂɻ̩ ʈʂɤ,否,,[],拟音,歧义同音词,裤子和床单还shi着就能水煎了,裤子和床单还湿着就能睡奸了
biz_0422#1:02,biz_0422#1,水煎,水煎,水煎,shui3 jian1,睡奸,睡奸,shui4 jian1,ʂuei˥˩ tɕiɛn˥,ʂuei˥˩ tɕiɛn˥,否,,ʂuei˨˩˦ tɕiɛn˥,ʂuei˨˩˦ tɕiɛn˥,否,,[],拟音,歧义同音词,裤子和床单还shi着就能水煎了,裤子和床单还湿着就能睡奸了
biz_0320#1:01,biz_0320#1,法了,法了,法了,fa3 le,fuck了,fuck了,fuck le,fˈʌk lɤ,fˈʌk lɤ,否,,fa˨˩˦ lɤ,fa˨˩˦ lɤ,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,我也是昨天刚梦到被一个没有见过的短发帅t法了,我也是昨天刚梦到被一个没有见过的短发帅t做了
biz_0390#1:01,biz_0390#1,上chang,上chang,上chang,shang4 chang,上床,上床,shang4 chuang2,ʂɑŋ˥˩ ʈʂʰuɑŋ˧˥,ʂɑŋ˥˩ ʈʂʰuɑŋ˧˥,否,,ʂɑŋ˥˩ ʈʂʰɑŋ,ʂɑŋ˥˩ ʈʂʰɑŋ,否,,[],拟音,语音符号替代,所以三言两语就能给他哄上chang，然后此男因为有腿伤,所以三言两语就能给他哄上床，然后此男因为有腿伤
biz_0414#1:01,biz_0414#1,想法她,想法她,想法她,xiang3 fa3 ta1,想fuck她,想fuck她,xiang3 fuck ta1,ɕiɑŋ˨˩˦ fˈʌk tʰa˥,ɕiɑŋ˨˩˦ fˈʌk tʰa˥,否,,ɕiɑŋ˨˩˦ fa˨˩˦ tʰa˥,ɕiɑŋ˨˩˦ fa˨˩˦ tʰa˥,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,左位每次想法她时（一般都是石油人😋）都会以各种理由让她来办公室,左位每次想fuck她时（一般都是石油人😋）都会以各种理由让她来办公室
biz_0462#1:01,biz_0462#1,法的,法的,法的,fa3 de,操的,操的,cao1 de,tsʰɑʊ˥ tɤ,tsʰɑʊ˥ tɤ,否,,fa˨˩˦ tɤ,fa˨˩˦ tɤ,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,600法的太狠本想抓着床单逃走,600操的太狠本想抓着床单逃走
biz_0491#1:01,biz_0491#1,雪口,雪口,雪口,xue3 kou3,穴口,穴口,xue2 kou3,ɕyɛ˧˥ kʰoʊ˨˩˦,ɕyɛ˧˥ kʰoʊ˨˩˦,否,,ɕyɛ˨˩˦ kʰoʊ˨˩˦,ɕyɛ˨˩˦ kʰoʊ˨˩˦,否,,[],拟音,非词汇同音词,此时的雪口只是勉强能含下，但随着玩具的启动,此时的穴口只是勉强能含下，但随着玩具的启动
biz_0471#1:01,biz_0471#1,水煎,水煎,水煎,shui3 jian1,睡奸,睡奸,shui4 jian1,ʂuei˥˩ tɕiɛn˥,ʂuei˥˩ tɕiɛn˥,否,,ʂuei˨˩˦ tɕiɛn˥,ʂuei˨˩˦ tɕiɛn˥,否,,[],拟音,歧义同音词,可以理解成水煎了！（真的吗）真要扣的话也不会反抗什么,可以理解成睡奸了！（真的吗）真要抠的话也不会反抗什么
biz_0471#1:02,biz_0471#1,扣,扣,扣,kou4,抠,抠,kou1,kʰoʊ˥,kʰoʊ˥,否,,kʰoʊ˥˩,kʰoʊ˥˩,否,,[],拟音,歧义同音词,可以理解成水煎了！（真的吗）真要扣的话也不会反抗什么,可以理解成睡奸了！（真的吗）真要抠的话也不会反抗什么
biz_0469#1:01,biz_0469#1,雪/口,雪/口,雪/口,xue3 / kou3,穴口,穴口,xue2 kou3,ɕyɛ˧˥ kʰoʊ˨˩˦,ɕyɛ˧˥ kʰoʊ˨˩˦,否,,,ɕyɛ˨˩˦ kʰoʊ˨˩˦,是,unresolved_symbol_or_digit,[],拟音,非词汇同音词,膝盖并拢时大腿中间会有缝隙，就像是天然的雪/口直接叉进去,膝盖并拢时大腿中间会有缝隙，就像是天然的穴口直接叉进去
biz_0553#1:01,biz_0553#1,狠狠法,狠狠法,狠狠法,hen3 hen3 fa3,狠狠fuck,狠狠fuck,hen3 hen3 fuck,xən˨˩˦ xən˨˩˦ fˈʌk,xən˨˩˦ xən˨˩˦ fˈʌk,否,,xən˨˩˦ xən˨˩˦ fa˨˩˦,xən˨˩˦ xən˨˩˦ fa˨˩˦,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,之后就是哥哥狠狠法妹妹 一直摸/舔/嗦/揉妹妹啦,之后就是哥哥狠狠操妹妹 一直摸/舔/嗦/揉妹妹啦
biz_0559#1:01,biz_0559#1,老福特,老福特,老福特,lao3 fu2 te4,LOFTER,LOFTER,LOFTER,lˈɒftə,lˈɒftə,否,,lɑʊ˨˩˦ fu˧˥ tʰɤ˥˩,lɑʊ˨˩˦ fu˧˥ tʰɤ˥˩,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,我草我在老福特看过…震撼美味,我草我在LOFTER看过…震撼美味
biz_0581#1:01,biz_0581#1,妹糕潮,妹糕潮,妹糕潮,mei4 gao1 chao2,妹高潮,妹高潮,mei4 gao1 chao2,mei˥˩ kɑʊ˥ ʈʂʰɑʊ˧˥,mei˥˩ kɑʊ˥ ʈʂʰɑʊ˧˥,否,,mei˥˩ kɑʊ˥ ʈʂʰɑʊ˧˥,mei˥˩ kɑʊ˥ ʈʂʰɑʊ˧˥,否,,[],拟音,非词汇同音词,哥感受到妹糕潮下面收缩夹的他在妹宝耳边喘的更厉害了,哥感受到妹高潮下面收缩夹的他在妹宝耳边喘的更厉害了
biz_0570#1:01,biz_0570#1,双星,双星,双星,shuang1 xing1,双性,双性,shuang1 xing4,ʂuɑŋ˥ ɕiŋ˥˩,ʂuɑŋ˥ ɕiŋ˥˩,否,,ʂuɑŋ˥ ɕiŋ˥,ʂuɑŋ˥ ɕiŋ˥,否,,[],拟音,歧义同音词,春眠，受是双星,春眠，受是双性
biz_0584#1:01,biz_0584#1,法着放心,法着放心,法着放心,fa3 zhe fang4 xin1,fuck着放心,fuck着放心,fuck zhe fang4 xin1,fˈʌk ʈʂɤ fɑŋ˥˩ ɕin˥,fˈʌk ʈʂɤ fɑŋ˥˩ ɕin˥,否,,fa˨˩˦ ʈʂɤ fɑŋ˥˩ ɕin˥,fa˨˩˦ ʈʂɤ fɑŋ˥˩ ɕin˥,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,自己养大的法着放心,自己养大的操着放心
biz_0302#1:01,biz_0302#1,好ru,好ru,好ru,hao3 ru,好入,好入,hao3 ru4,xɑʊ˨˩˦ ɻu˥˩,xɑʊ˨˩˦ ɻu˥˩,否,,xɑʊ˨˩˦ ɻu,xɑʊ˨˩˦ ɻu,否,,[],拟音,语音符号替代,师尊的身体是非常好ru的那种,师尊的身体是非常好入的那种
biz_0582#1:01,biz_0582#1,被法得受不了,被法得受不了,被法得受不了,bei4 fa3 de2 shou4 bu4 liao3,被fuck得受不了,被fuck得受不了,bei4 fuck de2 shou4 bu4 liao3,pei˥˩ fˈʌk tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,pei˥˩ fˈʌk tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,否,,pei˥˩ fa˨˩˦ tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,pei˥˩ fa˨˩˦ tɤ˧˥ ʂoʊ˥˩ pu˥˩ liɑʊ˨˩˦,否,,[],拟音,跨语言语音编码（含方言，可称非普通话音近）,被法得受不了求饶时左位不听,被操得受不了求饶时左位不听
biz_0308#1:01,biz_0308#1,b头像,b头像,b头像,b tou2 xiang4,逼头像,逼头像,bi1 tou2 xiang4,pi˥ tʰoʊ˧˥ ɕiɑŋ˥˩,pi˥ tʰoʊ˧˥ ɕiɑŋ˥˩,否,,bˈiː tʰoʊ˧˥ ɕiɑŋ˥˩,bˈiː tʰoʊ˧˥ ɕiɑŋ˥˩,否,,[],拟音,语音符号替代,我什么时候看见我这个b头像都绷不住,我什么时候看见我这个逼头像都绷不住
biz_0356#1:01,biz_0356#1,摩ca,摩ca,摩ca,mo2 ca,摩擦,摩擦,mo2 ca1,muɔ˧˥ tsʰa˥,muɔ˧˥ tsʰa˥,否,,muɔ˧˥ tsʰa,muɔ˧˥ tsʰa,否,,[],拟音,语音符号替代,被被子全方位反复摩ca,被被子全方位反复摩擦
biz_0339#1:01,biz_0339#1,gc特别多,gc特别多,gc特别多,gc te4 bie2 duo1,高潮特别多,高潮特别多,gao1 chao2 te4 bie2 duo1,kɑʊ˥ ʈʂʰɑʊ˧˥ tʰɤ˥˩ piɛ˧˥ tuɔ˥,kɑʊ˥ ʈʂʰɑʊ˧˥ tʰɤ˥˩ piɛ˧˥ tuɔ˥,否,,dʒˌiːsˈiː tʰɤ˥˩ piɛ˧˥ tuɔ˥,dʒˌiːsˈiː tʰɤ˥˩ piɛ˧˥ tuɔ˥,否,,[],拟音,语音符号替代,gc特别多 shui也多每次都是爽的不行才停下,高潮特别多 水也多每次都是爽的不行才停下
biz_0339#1:02,biz_0339#1,shui也多,shui也多,shui也多,shui ye3 duo1,水也多,水也多,shui3 ye3 duo1,ʂuei˨˩˦ jɛ˨˩˦ tuɔ˥,ʂuei˨˩˦ jɛ˨˩˦ tuɔ˥,否,,ʂuei jɛ˨˩˦ tuɔ˥,ʂuei jɛ˨˩˦ tuɔ˥,否,,[],拟音,语音符号替代,gc特别多 shui也多每次都是爽的不行才停下,高潮特别多 水也多每次都是爽的不行才停下
biz_0349#1:01,biz_0349#1,sao浪,sao浪,sao浪,sao lang4,骚浪,骚浪,sao1 lang4,sɑʊ˥ lɑŋ˥˩,sɑʊ˥ lɑŋ˥˩,否,,sɑʊ lɑŋ˥˩,sɑʊ lɑŋ˥˩,否,,[],拟音,语音符号替代,左看着右这副sao浪模样以为右在勾引他,左看着右这副骚浪模样以为右在勾引他
biz_0337#1:01,biz_0337#1,失jin,失jin,失jin,shi1 jin,失禁,失禁,shi1 jin4,ʂɻ̩˥ tɕin˥˩,ʂɻ̩˥ tɕin˥˩,否,,ʂɻ̩˥ tɕin,ʂɻ̩˥ tɕin,否,,[],拟音,语音符号替代,喷的时候学生还说老师为什么失jin了,喷的时候学生还说老师为什么失禁了
biz_0397#1:01,biz_0397#1,luo着,luo着,luo着,luo zhe,裸着,裸着,luo3 zhe,luɔ˨˩˦ ʈʂɤ,luɔ˨˩˦ ʈʂɤ,否,,luɔ ʈʂɤ,luɔ ʈʂɤ,否,,[],拟音,语音符号替代,在公司单面镜让luo着做动作展示,在公司单面镜让裸着做动作展示
biz_0404#1:01,biz_0404#1,jiao,jiao,jiao,jiao,叫,叫,jiao4,tɕiɑʊ˥˩,tɕiɑʊ˥˩,否,,tɕiɑʊ,tɕiɑʊ,否,,[],拟音,语音符号替代,师尊又好面子忍着不jiao,师尊又好面子忍着不叫
biz_0405#1:01,biz_0405#1,挑 逗,挑 逗,挑 逗,tiao1 dou4,挑逗,挑逗,tiao3 dou4,tʰiɑʊ˨˩˦ toʊ˥˩,tʰiɑʊ˨˩˦ toʊ˥˩,否,,tʰiɑʊ˥ toʊ˥˩,tʰiɑʊ˥ toʊ˥˩,否,,[],拟音,语音符号替代,用手轻轻挑 逗着另一边，将那边弄出些许y e体,用手轻轻挑逗着另一边，将那边弄出些许液体
biz_0405#1:02,biz_0405#1,y e体,y e体,y e体,y e ti3,液体,液体,ye4 ti3,jɛ˥˩ tʰi˨˩˦,jɛ˥˩ tʰi˨˩˦,否,,wˈaɪ ˈiː tʰi˨˩˦,wˈaɪ ˈiː tʰi˨˩˦,否,,[],拟音,语音符号替代,用手轻轻挑 逗着另一边，将那边弄出些许y e体,用手轻轻挑逗着另一边，将那边弄出些许液体
biz_0442#1:01,biz_0442#1,shenyin,shenyin,shenyin,shenyin,呻吟,呻吟,shen1 yin2,ʂən˥ in˧˥,ʂən˥ in˧˥,否,,ʃˈɛniˌɪn,ʃˈɛniˌɪn,否,,[],拟音,语音符号替代,妹妹一边shenyin一边发出娇chuan,妹妹一边呻吟一边发出娇喘
biz_0442#1:02,biz_0442#1,娇chuan,娇chuan,娇chuan,jiao1 chuan,娇喘,娇喘,jiao1 chuan3,tɕiɑʊ˥ ʈʂʰuan˨˩˦,tɕiɑʊ˥ ʈʂʰuan˨˩˦,否,,tɕiɑʊ˥ ʈʂʰuan,tɕiɑʊ˥ ʈʂʰuan,否,,[],拟音,语音符号替代,妹妹一边shenyin一边发出娇chuan,妹妹一边呻吟一边发出娇喘
biz_0443#1:01,biz_0443#1,yin jiao着,yin jiao着,yin jiao着,yin jiao zhe,淫叫着,淫叫着,yin2 jiao4 zhe,in˧˥ tɕiɑʊ˥˩ ʈʂɤ,in˧˥ tɕiɑʊ˥˩ ʈʂɤ,否,,in tɕiɑʊ ʈʂɤ,in tɕiɑʊ ʈʂɤ,否,,[],拟音,语音符号替代,从后面插入 妹妹yin jiao着 脸粉嫩嫩的,从后面插入 妹妹淫叫着 脸粉嫩嫩的
biz_0440#1:01,biz_0440#1,妹的pp,妹的pp,妹的pp,mei4 de pp,妹的屁屁,妹的屁屁,mei4 de pi4 pi4,mei˥˩ tɤ pʰi˥˩ pʰi˥˩,mei˥˩ tɤ pʰi˥˩ pʰi˥˩,否,,mei˥˩ tɤ pˌiːpˈiː,mei˥˩ tɤ pˌiːpˈiː,否,,[],拟音,语音符号替代,让妹的pp 刚好放进哥tui 间的空隙里,让妹的屁股刚好放进哥腿间的空隙里
biz_0440#1:02,biz_0440#1,哥的tui,哥的tui,哥的tui,ge1 de tui,哥的腿,哥的腿,ge1 de tui3,kɤ˥ tɤ tʰuei˨˩˦,kɤ˥ tɤ tʰuei˨˩˦,否,,kɤ˥ tɤ tʰuei,kɤ˥ tɤ tʰuei,否,,[],拟音,语音符号替代,让妹的pp 刚好放进哥tui 间的空隙里,让妹的屁股刚好放进哥腿间的空隙里
biz_0401#1:01,biz_0401#1,说真sao,说真sao,说真sao,shuo1 zhen1 sao,说真骚,说真骚,shuo1 zhen1 sao1,ʂuɔ˥ ʈʂən˥ sɑʊ˥,ʂuɔ˥ ʈʂən˥ sɑʊ˥,否,,ʂuɔ˥ ʈʂən˥ sɑʊ,ʂuɔ˥ ʈʂən˥ sɑʊ,否,,[],拟音,语音符号替代,恶俗一点的话哥会扇一下说真sao,恶俗一点的话哥会扇一下说真骚
biz_0441#1:01,biz_0441#1,choucha 的时候,choucha 的时候,choucha 的时候,choucha de shi2 hou4,抽插的时候,抽插的时候,chou1 cha1 de shi2 hou4,ʈʂʰoʊ˥ ʈʂʰa˥ tɤ ʂɻ̩˧˥ xoʊ˥˩,ʈʂʰoʊ˥ ʈʂʰa˥ tɤ ʂɻ̩˧˥ xoʊ˥˩,否,,tʃˈaʊtʃə tɤ ʂɻ̩˧˥ xoʊ˥˩,tʃˈaʊtʃə tɤ ʂɻ̩˧˥ xoʊ˥˩,否,,[],拟音,语音符号替代,choucha 的时候会带动两团rq晃动,抽插的时候会带动两团肉球晃动
biz_0506#1:01,biz_0506#1,扇b,扇b,扇b,shan4 b,扇逼,扇逼,shan4 bi1,ʂan˥˩ pi˥,ʂan˥˩ pi˥,否,,ʂan˥˩ bˈiː,ʂan˥˩ bˈiː,否,,[],拟音,语音符号替代,关于扇b，哥扇了一下后问妹喜不喜欢,关于扇逼，哥扇了一下后问妹喜不喜欢
biz_0478#1:01,biz_0478#1,印bi,印bi,印bi,yin4 bi,印逼,印逼,yin4 bi1,in˥˩ pi˥,in˥˩ pi˥,否,,in˥˩ pi,in˥˩ pi,否,,[],拟音,语音符号替代,有用打印机印bi，在公司单面镜让luo着做动作展示,有用打印机印逼，在公司单面镜让裸着做动作展示
biz_0478#1:02,biz_0478#1,luo着,luo着,luo着,luo zhe,裸着,裸着,luo3 zhe,luɔ˨˩˦ ʈʂɤ,luɔ˨˩˦ ʈʂɤ,否,,luɔ ʈʂɤ,luɔ ʈʂɤ,否,,[],拟音,语音符号替代,有用打印机印bi，在公司单面镜让luo着做动作展示,有用打印机印逼，在公司单面镜让裸着做动作展示
biz_0505#1:01,biz_0505#1,pao 机,pao 机,pao 机,pao ji1,炮机,炮机,pao4 ji1,pʰɑʊ˥˩ tɕi˥,pʰɑʊ˥˩ tɕi˥,否,,pʰɑʊ tɕi˥,pʰɑʊ tɕi˥,否,,[],拟音,语音符号替代,有脉冲pao 机也有吸吮，两种功能,有脉冲炮机也有吸吮，两种功能
biz_0484#1:01,biz_0484#1,rou挺香的,rou挺香的,rou挺香的,rou ting3 xiang1 de,肉挺香的,肉挺香的,rou4 ting3 xiang1 de,ɻoʊ˥˩ tʰiŋ˨˩˦ ɕiɑŋ˥ tɤ,ɻoʊ˥˩ tʰiŋ˨˩˦ ɕiɑŋ˥ tɤ,否,,ɻoʊ tʰiŋ˨˩˦ ɕiɑŋ˥ tɤ,ɻoʊ tʰiŋ˨˩˦ ɕiɑŋ˥ tɤ,否,,[],拟音,语音符号替代,攻发现受双性让他认主还是什么，rou挺香的,攻发现受双性让他认主还是什么，肉挺香的
biz_0529#1:01,biz_0529#1,右的雪里,右的雪里,右的雪里,you4 de xue3 li3,右的穴里,右的穴里,you4 de xue2 li3,joʊ˥˩ tɤ ɕyɛ˧˥ li˨˩˦,joʊ˥˩ tɤ ɕyɛ˧˥ li˨˩˦,否,,joʊ˥˩ tɤ ɕyɛ˨˩˦ li˨˩˦,joʊ˥˩ tɤ ɕyɛ˨˩˦ li˨˩˦,否,,[],拟音,非词汇同音词,右是偶像，左在右雪里放可以连接歌曲,右是偶像，左在右穴里放可以连接歌曲
biz_0523#1:01,biz_0523#1,涩情,涩情,涩情,se4 qing2,色情,色情,se4 qing2,sɤ˥˩ tɕʰiŋ˧˥,sɤ˥˩ tɕʰiŋ˧˥,否,,sɤ˥˩ tɕʰiŋ˧˥,sɤ˥˩ tɕʰiŋ˧˥,否,,[],拟音,非词汇同音词,胸口和眼睛的星空还有瘦瘦的身体都很涩情✋🏻,胸口和眼睛的星空还有瘦瘦的身体都很色情✋🏻
